id,short_id,external_aid,game_type,points,first_test_points,second_test_points,first_half_points,second_half_points,partner_rule,first_test_drule,first_test_drule_gen,second_test_drule,second_test_drule_gen
sim-447,sim-447,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-408,sim-408,False,duo,24,20,24,20,4,1d_a,2d,2d,2d,2d
sim-816,sim-816,False,duo,24,16,24,16,8,1d_a,2d,2d,2d,2d
sim-313,sim-313,False,duo,20,24,20,24,-4,1d_a,2d,2d,2d,2d
sim-359,sim-359,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-472,sim-472,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-205,sim-205,False,duo,24,20,24,20,4,1d_a,2d,2d,2d,2d
sim-228,sim-228,False,duo,24,12,24,12,12,1d_a,neither,neither,2d,2d
sim-482,sim-482,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-040,sim-040,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-392,sim-392,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-111,sim-111,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-833,sim-833,False,duo,24,16,24,16,8,1d_a,1d_a,1d,2d,2d
sim-813,sim-813,False,duo,17,16,17,16,1,1d_a,1d_a,1d,1d_a,1d
sim-963,sim-963,False,duo,24,21,24,21,3,1d_a,neither,neither,2d,2d
sim-422,sim-422,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-341,sim-341,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-184,sim-184,False,duo,24,16,24,16,8,1d_a,2d,2d,2d,2d
sim-998,sim-998,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-423,sim-423,False,duo,24,16,24,16,8,1d_a,2d,2d,2d,2d
sim-182,sim-182,False,duo,24,20,24,20,4,1d_a,2d,2d,2d,2d
sim-905,sim-905,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-862,sim-862,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-650,sim-650,False,duo,18,16,18,16,2,1d_a,1d_a,1d,1d_a,1d
sim-746,sim-746,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-701,sim-701,False,duo,24,17,24,17,7,1d_a,1d_b,1d,2d,2d
sim-106,sim-106,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-920,sim-920,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-652,sim-652,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-367,sim-367,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-620,sim-620,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-906,sim-906,False,duo,24,16,24,16,8,1d_a,1d_a,1d,2d,2d
sim-316,sim-316,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-043,sim-043,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-131,sim-131,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-441,sim-441,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-152,sim-152,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-589,sim-589,False,duo,24,23,24,23,1,1d_a,2d,2d,2d,2d
sim-037,sim-037,False,duo,24,16,24,16,8,1d_a,1d_a,1d,2d,2d
sim-153,sim-153,False,duo,17,16,17,16,1,1d_a,1d_a,1d,1d_a,1d
sim-677,sim-677,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-961,sim-961,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-602,sim-602,False,duo,16,12,16,12,4,1d_a,1d_a,1d,1d_a,1d
sim-438,sim-438,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-453,sim-453,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-786,sim-786,False,duo,24,17,24,17,7,1d_a,1d_b,1d,2d,2d
sim-269,sim-269,False,duo,24,16,24,16,8,1d_a,1d_a,1d,2d,2d
sim-134,sim-134,False,duo,4,12,4,12,-8,1d_a,neither,neither,neither,neither
sim-342,sim-342,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-804,sim-804,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-046,sim-046,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-284,sim-284,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-653,sim-653,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-949,sim-949,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-053,sim-053,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-822,sim-822,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-780,sim-780,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-978,sim-978,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-600,sim-600,False,duo,10,17,10,17,-7,1d_a,1d_a,1d,neither,neither
sim-209,sim-209,False,duo,24,20,24,20,4,1d_a,2d,2d,2d,2d
sim-352,sim-352,False,duo,16,1,16,1,15,1d_a,neither,neither,1d_a,1d
sim-216,sim-216,False,duo,24,17,24,17,7,1d_a,1d_b,1d,2d,2d
sim-289,sim-289,False,duo,24,20,24,20,4,1d_a,2d,2d,2d,2d
sim-279,sim-279,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-954,sim-954,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-821,sim-821,False,duo,16,17,16,17,-1,1d_a,1d_a,1d,1d_a,1d
sim-110,sim-110,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-119,sim-119,False,duo,24,16,24,16,8,1d_a,1d_a,1d,2d,2d
sim-942,sim-942,False,duo,17,16,17,16,1,1d_a,1d_a,1d,1d_a,1d
sim-138,sim-138,False,duo,20,16,20,16,4,1d_a,1d_b,1d,2d,2d
sim-107,sim-107,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-307,sim-307,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-973,sim-973,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-009,sim-009,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-823,sim-823,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-310,sim-310,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-557,sim-557,False,duo,24,16,24,16,8,1d_a,1d_a,1d,2d,2d
sim-744,sim-744,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-635,sim-635,False,duo,24,20,24,20,4,1d_a,2d,2d,2d,2d
sim-292,sim-292,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-379,sim-379,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-890,sim-890,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-630,sim-630,False,duo,24,-8,24,-8,32,1d_a,neither,neither,2d,2d
sim-358,sim-358,False,duo,24,20,24,20,4,1d_a,2d,2d,2d,2d
sim-713,sim-713,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-621,sim-621,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-519,sim-519,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-663,sim-663,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-551,sim-551,False,duo,16,17,16,17,-1,1d_a,1d_a,1d,1d_a,1d
sim-076,sim-076,False,duo,24,18,24,18,6,1d_a,1d_b,1d,2d,2d
sim-103,sim-103,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-577,sim-577,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-858,sim-858,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-010,sim-010,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-075,sim-075,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-952,sim-952,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-469,sim-469,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-308,sim-308,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-135,sim-135,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-860,sim-860,False,duo,24,16,24,16,8,1d_a,2d,2d,2d,2d
sim-885,sim-885,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-245,sim-245,False,duo,24,17,24,17,7,1d_a,1d_b,1d,2d,2d
sim-642,sim-642,False,duo,24,20,24,20,4,1d_a,2d,2d,2d,2d
sim-210,sim-210,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-268,sim-268,False,duo,24,16,24,16,8,1d_a,2d,2d,2d,2d
sim-871,sim-871,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-536,sim-536,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-579,sim-579,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-846,sim-846,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-969,sim-969,False,duo,24,20,24,20,4,1d_a,neither,neither,2d,2d
sim-084,sim-084,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-041,sim-041,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-609,sim-609,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-593,sim-593,False,duo,24,16,24,16,8,1d_a,1d_a,1d,2d,2d
sim-854,sim-854,False,duo,24,19,24,19,5,1d_a,neither,neither,2d,2d
sim-584,sim-584,False,duo,20,16,20,16,4,1d_a,1d_b,1d,2d,2d
sim-123,sim-123,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-414,sim-414,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-241,sim-241,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-724,sim-724,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-610,sim-610,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-767,sim-767,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-191,sim-191,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-083,sim-083,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-521,sim-521,False,duo,24,20,24,20,4,1d_a,neither,neither,2d,2d
sim-877,sim-877,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-806,sim-806,False,duo,24,20,24,20,4,1d_a,2d,2d,2d,2d
sim-784,sim-784,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-515,sim-515,False,duo,24,16,24,16,8,1d_a,1d_a,1d,2d,2d
sim-489,sim-489,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-848,sim-848,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-673,sim-673,False,duo,16,17,16,17,-1,1d_a,1d_a,1d,1d_a,1d
sim-059,sim-059,False,duo,24,17,24,17,7,1d_a,1d_b,1d,2d,2d
sim-322,sim-322,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-692,sim-692,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-556,sim-556,False,duo,24,17,24,17,7,1d_a,1d_b,1d,2d,2d
sim-594,sim-594,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-838,sim-838,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-223,sim-223,False,duo,20,24,20,24,-4,1d_a,2d,2d,2d,2d
sim-304,sim-304,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-717,sim-717,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-159,sim-159,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-499,sim-499,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-570,sim-570,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-898,sim-898,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-293,sim-293,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-466,sim-466,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-989,sim-989,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-400,sim-400,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-003,sim-003,False,duo,24,8,24,8,16,1d_a,neither,neither,2d,2d
sim-887,sim-887,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-169,sim-169,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-726,sim-726,False,duo,24,8,24,8,16,1d_a,neither,neither,2d,2d
sim-870,sim-870,False,duo,4,15,4,15,-11,1d_a,neither,neither,neither,neither
sim-219,sim-219,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-493,sim-493,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-716,sim-716,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-752,sim-752,False,duo,24,17,24,17,7,1d_a,1d_a,1d,2d,2d
sim-171,sim-171,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-243,sim-243,False,duo,24,21,24,21,3,1d_a,neither,neither,2d,2d
sim-981,sim-981,False,duo,24,16,24,16,8,1d_a,1d_a,1d,2d,2d
sim-016,sim-016,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-554,sim-554,False,duo,24,16,24,16,8,1d_a,1d_a,1d,2d,2d
sim-668,sim-668,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-052,sim-052,False,duo,24,20,24,20,4,1d_a,2d,2d,2d,2d
sim-990,sim-990,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-564,sim-564,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-454,sim-454,False,duo,24,20,24,20,4,1d_a,2d,2d,2d,2d
sim-078,sim-078,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-256,sim-256,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-913,sim-913,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-718,sim-718,False,duo,8,16,8,16,-8,1d_a,1d_b,1d,neither,neither
sim-188,sim-188,False,duo,20,4,20,4,16,1d_a,neither,neither,2d,2d
sim-830,sim-830,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-144,sim-144,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-967,sim-967,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-815,sim-815,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-706,sim-706,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-924,sim-924,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-255,sim-255,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-112,sim-112,False,duo,24,16,24,16,8,1d_a,1d_a,1d,2d,2d
sim-348,sim-348,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-413,sim-413,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-063,sim-063,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-101,sim-101,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-662,sim-662,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-670,sim-670,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-690,sim-690,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-056,sim-056,False,duo,4,16,4,16,-12,1d_a,1d_b,1d,neither,neither
sim-479,sim-479,False,duo,24,20,24,20,4,1d_a,2d,2d,2d,2d
sim-421,sim-421,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-756,sim-756,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-363,sim-363,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-442,sim-442,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-675,sim-675,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-947,sim-947,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-097,sim-097,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-195,sim-195,False,duo,24,16,24,16,8,1d_a,2d,2d,2d,2d
sim-417,sim-417,False,duo,12,16,12,16,-4,1d_a,1d_a,1d,neither,neither
sim-710,sim-710,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-249,sim-249,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-485,sim-485,False,duo,24,20,24,20,4,1d_a,2d,2d,2d,2d
sim-591,sim-591,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-585,sim-585,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-136,sim-136,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-754,sim-754,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-220,sim-220,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-768,sim-768,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-686,sim-686,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-286,sim-286,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-244,sim-244,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-527,sim-527,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-729,sim-729,False,duo,24,11,24,11,13,1d_a,neither,neither,2d,2d
sim-339,sim-339,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-873,sim-873,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-070,sim-070,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-875,sim-875,False,duo,24,17,24,17,7,1d_a,neither,neither,2d,2d
sim-061,sim-061,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-647,sim-647,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-725,sim-725,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-073,sim-073,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-008,sim-008,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-968,sim-968,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-735,sim-735,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-236,sim-236,False,duo,17,1,17,1,16,1d_a,neither,neither,1d_a,1d
sim-568,sim-568,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-603,sim-603,False,duo,24,16,24,16,8,1d_a,1d_a,1d,2d,2d
sim-022,sim-022,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-347,sim-347,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-828,sim-828,False,duo,24,19,24,19,5,1d_a,neither,neither,2d,2d
sim-231,sim-231,False,duo,17,11,17,11,6,1d_a,neither,neither,1d_a,1d
sim-254,sim-254,False,duo,17,16,17,16,1,1d_a,1d_a,1d,1d_a,1d
sim-124,sim-124,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-463,sim-463,False,duo,16,16,16,16,0,1d_a,1d_a,1d,1d_a,1d
sim-530,sim-530,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-449,sim-449,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-832,sim-832,False,duo,24,16,24,16,8,1d_a,neither,neither,2d,2d
sim-972,sim-972,False,duo,24,24,24,24,0,1d_a,2d,2d,2d,2d
sim-688,sim-688,False,duo,24,18,24,18,6,1d_a,1d_b,1d,2d,2d
sim-845,sim-845,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-320,sim-320,False,duo,24,16,24,16,8,1d_a,2d,2d,2d,2d
sim-731,sim-731,False,duo,24,16,24,16,8,1d_a,1d_b,1d,2d,2d
sim-206,sim-206,False,duo,24,16,24,16,8,1d_b,1d_a,1d,2d,2d
sim-707,sim-707,False,duo,24,24,24,24,0,1d_b,2d,2d,2d,2d
sim-939,sim-939,False,duo,24,16,24,16,8,1d_b,1d_a,1d,2d,2d
sim-785,sim-785,False,duo,16,16,16,16,0,1d_b,1d_b,1d,1d_b,1d
